"-- None --","-- Ninguno --"
"Active","Activo"
"Add Banner","Agregar Banner"
"An error occurred while deleting banner data. Please review log and try again.","Ha ocurrido un error mientras se eliminaba la informacion. Por favor revise el registro he intentelo nuevamente"
"An error occurred while mass deleting banners. Please review log and try again.","Ha ocurrido un error mientras se eliminaba la informacion. Por favor revise el registro he intentelo nuevamente"
"Any Banner Type","Cualquier Tipo de Banner"
"Applies To","Se aplica a"
"Are you sure you want to delete these banners?","¿Está seguro que desea eliminar estos banners?"
"Banner Block Template","Plantilla de bloque de banner"
"Banner Default Content for All Store Views","Contenido predeterminado del Banner para todas las vistas de tienda"
"Banner Information","Banner Information"
"Banner Inline Template","Banner Inline Template"
"Banner Name","Banner Name"
"Banner Properties","Banner Properties"
"Banner Rotator","Banner Rotator"
"Banner Types","Banner Types"
"Banners","Banners"
"Banners to Display","Banners to Display"
"CMS","CMS"
"Catalog Promotions Related","Catalog Promotions Related"
"Content","Contenido"
"Content Area","Content Area"
"Default Content","Default Content"
"Delete","Eliminar"
"Delete Banner","Delete Banner"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Do not rotate, display all at once","Do not rotate, display all at once"
"Edit Banner","Edit Banner"
"Footer","Pie de página"
"Header","Encabezado"
"ID","ID"
"Left Column","Columna izquierda"
"Manage Banners","Manage Banners"
"Name must not be empty.","Name must not be empty."
"New Banner","New Banner"
"No","No"
"No Default Content","No Default Content"
"One at the time, Random","One at the time, Random"
"One at the time, Series","One at the time, Series"
"One at the time, Shuffle","One at the time, Shuffle"
"Please select banner(s).","Please select banner(s)."
"Please specify default content for at least one store view.","Please specify default content for at least one store view."
"Position","Position"
"Related Banners","Related Banners"
"Related Catalog Price Rules","Related Catalog Price Rules"
"Related Promotions","Related Promotions"
"Related Shopping Cart Price Rules","Related Shopping Cart Price Rules"
"Restrict by Banner Types","Restrict by Banner Types"
"Right Column","Columna derecha"
"Rotation Mode","Rotation Mode"
"Save Banner","Save Banner"
"Save and Continue Edit","Save and Continue Edit"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Specified Banner Types","Specified Banner Types"
"Specified Banners","Specified Banners"
"Specify Banners","Specify Banners"
"Specify Types","Especificar los tipos"
"Store View Specific Content","Store View Specific Content"
"The banner has been deleted.","The banner has been deleted."
"The banner has been saved.","The banner has been saved."
"This banner no longer exists.","This banner no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Unable to find a banner to delete.","Unable to find a banner to delete."
"Unable to save the banner.","Unable to save the banner."
"Use Default","Usar predeterminado"
"Visible In","Visible In"
"Yes","Sí"
